w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r1 1 0.435 1.259 0.804 3.111 1.506 0.528 1.657 1.487 NA 1 2.216 1.387 1.033 0 -1.737 0.132 1.426 0.321 1.954 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 1 0.435 1.259 0.804 3.114 1.513 0.528 1.662 1.496 NA 1 2.235 1.39 1.035 0 -1.776 0.126 1.422 0.326 1.956 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 1 0.431 1.26 0.797 3.031 1.403 0.536 1.611 1.345 NA 1 2.052 1.372 1.043 0 -1.418 0.162 1.406 0.395 1.955 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 1 0.505 1.293 0.795 2.036 0.987 0.51 1.459 0.799 NA 1 0.786 1.275 0.898 1.955 2.593 2.844 3.445 1.347 NA 0.575 0.826 0.154 0.676 NA NA NA NA NA NA
cuts_wide_bayes_r1 1 0.505 1.293 0.795 2.037 0.987 0.51 1.46 0.8 NA 1 0.799 1.292 0.913 1.949 2.586 2.84 3.446 1.352 NA 0.612 0.871 0.169 0.71 NA NA NA NA NA NA
cuts_long_bayes_r1 1 0.506 1.293 0.795 2.035 0.987 0.51 1.461 0.8 NA 1 0.795 1.284 0.908 1.952 2.595 2.842 3.443 1.363 NA 0.607 0.866 0.178 0.711 NA NA NA NA NA NA
tso_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r1 1 0.505 1.293 0.795 2.036 0.987 0.51 1.46 0.799 0.017 NA NA NA NA 1.966 2.598 2.858 3.46 NA NA 2.122 1.831 2.589 1.944 1.155 1.896 1.479 1.308 1.09 1.695
tso_long_bayes_r1 1 0.505 1.293 0.795 2.037 0.987 0.51 1.461 0.8 0.017 NA NA NA NA 1.953 2.589 2.833 3.461 NA NA 2.123 1.832 2.59 1.952 1.155 1.901 1.477 1.312 1.094 1.696
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
