w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 0 0.009 0.019 0.012 0.056 0.027 0.01 0.042 0.019 NA 0 0.01 0.016 0.012 0 0.046 0.069 0.051 0.29 0.143 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 0 0.009 0.019 0.012 0.056 0.027 0.01 0.042 0.019 NA 0 0.01 0.016 0.012 0 0.046 0.069 0.052 0.29 0.143 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 0 0.009 0.019 0.012 0.055 0.027 0.01 0.042 0.019 NA 0 0.01 0.016 0.012 0 0.045 0.069 0.052 0.316 0.147 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.009 0.019 0.012 0.056 0.027 0.011 0.042 0.019 NA 0 0.011 0.016 0.012 0 0.049 0.073 0.055 0.317 0.148 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 0 0.009 0.019 0.012 0.056 0.027 0.011 0.042 0.019 NA 0 0.011 0.016 0.012 0.143 0.113 0.17 0.13 0.29 NA 0.004 0.003 0.006 0.003 NA NA NA NA NA NA
cuts_wide_bayes_r1 0 0.009 0.019 0.012 0.056 0.027 0.01 0.042 0.019 NA 0 0.011 0.017 0.013 0.134 0.106 0.159 0.121 0.312 NA 0.003 0.001 0.004 0.001 NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.009 0.019 0.012 0.056 0.027 0.01 0.042 0.019 NA 0 0.011 0.017 0.012 0.136 0.108 0.162 0.124 0.316 NA 0.003 0.001 0.004 0.002 NA NA NA NA NA NA
tso_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r1 0 0.009 0.019 0.013 0.056 0.027 0.011 0.042 0.019 0.015 NA NA NA NA 0.157 0.124 0.186 0.142 NA NA 0.355 0.221 0.503 0.292 0.279 0.421 0.332 0.321 0.253 0.381
tso_long_bayes_r1 0 0.009 0.019 0.012 0.056 0.027 0.011 0.042 0.019 0.015 NA NA NA NA 0.162 0.128 0.193 0.147 NA NA 0.351 0.218 0.494 0.287 0.275 0.414 0.327 0.316 0.249 0.375
msst_wide_ml_r2 0 0.009 0.02 0.013 0.055 0.027 0.011 0.043 0.019 NA 0 0.011 0.016 0.012 0 0.045 0.068 0.051 0.285 0.142 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 0 0.009 0.02 0.013 0.055 0.027 0.011 0.043 0.019 NA 0 0.011 0.016 0.012 0 0.045 0.068 0.051 0.284 0.142 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 0 0.009 0.02 0.013 0.054 0.027 0.011 0.043 0.019 NA 0 0.011 0.016 0.012 0 0.045 0.068 0.051 0.311 0.146 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 0 0.009 0.02 0.013 0.055 0.027 0.011 0.043 0.019 NA 0 0.011 0.016 0.012 0 0.048 0.07 0.053 0.311 0.146 NA NA NA NA NA NA NA NA NA NA
