AIC BIC aBIC DIC
msst_wide_ml_r1 43334.487 43376.17 43325.638 NA
msst_long_ml_r1 43329.789 43425.891 43375.053 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 42843.811
cuts_wide_ml_r1 39920.373 39972.476 39909.311 NA
cuts_long_ml_r1 39920.373 40040.5 39976.953 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 39013.79
tso_wide_ml_r1 39922.545 39982.464 39909.824 NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 35402.937
msst_wide_ml_r2 43158.87 43200.553 43150.021 NA
msst_long_ml_r2 43154.775 43250.876 43200.038 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 42689.181
cuts_wide_ml_r2 40411.706 40463.809 40400.644 NA
cuts_long_ml_r2 40411.706 40531.833 40468.286 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 39546.831
tso_wide_ml_r2 40416.778 40476.697 40404.057 NA
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 35884.876
msst_wide_ml_r3 43769.381 43811.064 43760.532 NA
msst_long_ml_r3 43764.605 43860.707 43809.869 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 43254.087
cuts_wide_ml_r3 40111.132 40163.235 40100.07 NA
cuts_long_ml_r3 40111.132 40231.259 40167.711 NA
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 39169.696
tso_wide_ml_r3 40115.542 40175.461 40102.821 NA
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 35412.009
msst_wide_ml_r4 42634.189 42675.872 42625.34 NA
msst_long_ml_r4 42630.062 42726.164 42675.326 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 42126.259
cuts_wide_ml_r4 39861.544 39913.647 39850.482 NA
cuts_long_ml_r4 39861.544 39981.671 39918.124 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 38969.015
tso_wide_ml_r4 39866.562 39926.481 39853.841 NA
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 35164.42
msst_wide_ml_r5 43297.264 43338.947 43288.415 NA
msst_long_ml_r5 43292.867 43388.969 43338.131 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 42809.08
cuts_wide_ml_r5 39995.3 40047.403 39984.238 NA
cuts_long_ml_r5 39995.3 40115.427 40051.879 NA
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 39077.709
tso_wide_ml_r5 39996.65 40056.569 39983.929 NA
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 35545.169
msst_wide_ml_r6 42372.087 42413.769 42363.237 NA
msst_long_ml_r6 42367.641 42463.743 42412.905 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 41876.983
cuts_wide_ml_r6 39882.414 39934.518 39871.353 NA
cuts_long_ml_r6 39882.414 40002.542 39938.994 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 39045.191
tso_wide_ml_r6 39887.803 39947.722 39875.082 NA
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 35318.509
msst_wide_ml_r7 43463.279 43504.962 43454.43 NA
msst_long_ml_r7 43458.719 43554.821 43503.983 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 42995.592
cuts_wide_ml_r7 40008.077 40060.18 39997.015 NA
cuts_long_ml_r7 40008.077 40128.204 40064.657 NA
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 39105.472
tso_wide_ml_r7 40011.144 40071.063 39998.423 NA
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 35379.074
msst_wide_ml_r8 43020.863 43062.546 43012.014 NA
msst_long_ml_r8 43016.155 43112.257 43061.419 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 42519.996
cuts_wide_ml_r8 39871.847 39923.95 39860.785 NA
cuts_long_ml_r8 39871.847 39991.974 39928.426 NA
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 38978.735
tso_wide_ml_r8 39872.513 39932.432 39859.792 NA
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 35269.39
msst_wide_ml_r9 43476.613 43518.296 43467.764 NA
msst_long_ml_r9 43472.163 43568.265 43517.427 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 42952.209
cuts_wide_ml_r9 40155.247 40207.35 40144.185 NA
cuts_long_ml_r9 40155.247 40275.374 40211.826 NA
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 39207.355
tso_wide_ml_r9 40160.657 40220.576 40147.936 NA
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 35552.268
msst_wide_ml_r10 43305.36 43347.043 43296.511 NA
msst_long_ml_r10 43301.005 43397.107 43346.269 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 42790.076
cuts_wide_ml_r10 40010.046 40062.149 39998.984 NA
cuts_long_ml_r10 40010.046 40130.173 40066.625 NA
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 39064.55
tso_wide_ml_r10 40014.677 40074.596 40001.956 NA
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 35380.246
msst_wide_ml_r11 43013.286 43054.968 43004.436 NA
msst_long_ml_r11 43009.107 43105.209 43054.371 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 42518.267
cuts_wide_ml_r11 40062.961 40115.065 40051.9 NA
cuts_long_ml_r11 40062.961 40183.089 40119.541 NA
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 39159.366
tso_wide_ml_r11 40068.428 40128.347 40055.707 NA
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 35337.995
msst_wide_ml_r12 43797.921 43839.604 43789.072 NA
msst_long_ml_r12 43793.624 43889.726 43838.887 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 43326.769
cuts_wide_ml_r12 40088.047 40140.15 40076.985 NA
cuts_long_ml_r12 40088.047 40208.174 40144.626 NA
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 39165.667
tso_wide_ml_r12 40093.539 40153.458 40080.818 NA
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 35417.81
msst_wide_ml_r13 43350.975 43392.658 43342.126 NA
msst_long_ml_r13 43346.149 43442.251 43391.413 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 42832
cuts_wide_ml_r13 39820.957 39873.06 39809.895 NA
cuts_long_ml_r13 39820.957 39941.084 39877.536 NA
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 38879.778
tso_wide_ml_r13 39824.305 39884.223 39811.584 NA
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 35312.837
msst_wide_ml_r14 43016.037 43057.72 43007.188 NA
msst_long_ml_r14 43011.703 43107.805 43056.967 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 42516.097
cuts_wide_ml_r14 39941.275 39993.378 39930.213 NA
cuts_long_ml_r14 39941.275 40061.402 39997.855 NA
cuts_wide_bayes_r14 NA NA NA NA
cuts_long_bayes_r14 NA NA NA 39039.917
tso_wide_ml_r14 39944.384 40004.303 39931.664 NA
tso_wide_bayes_r14 NA NA NA NA
tso_long_bayes_r14 NA NA NA 35417.209
msst_wide_ml_r15 42997.23 43038.913 42988.381 NA
msst_long_ml_r15 42992.636 43088.738 43037.9 NA
msst_wide_bayes_r15 NA NA NA NA
msst_long_bayes_r15 NA NA NA 42494.817
cuts_wide_ml_r15 40051.463 40103.567 40040.402 NA
cuts_long_ml_r15 40051.463 40171.591 40108.043 NA
cuts_wide_bayes_r15 NA NA NA NA
cuts_long_bayes_r15 NA NA NA 39166.465
tso_wide_ml_r15 40050.358 40110.277 40037.637 NA
tso_wide_bayes_r15 NA NA NA NA
tso_long_bayes_r15 NA NA NA 35427.034
msst_wide_ml_r16 43382.132 43423.814 43373.282 NA
msst_long_ml_r16 43377.939 43474.041 43423.203 NA
msst_wide_bayes_r16 NA NA NA NA
msst_long_bayes_r16 NA NA NA 42911.32
cuts_wide_ml_r16 40125.11 40177.214 40114.049 NA
cuts_long_ml_r16 40125.11 40245.238 40181.69 NA
cuts_wide_bayes_r16 NA NA NA NA
cuts_long_bayes_r16 NA NA NA 39229.028
tso_wide_ml_r16 40129.592 40189.511 40116.872 NA
tso_wide_bayes_r16 NA NA NA NA
tso_long_bayes_r16 NA NA NA 35587.02
msst_wide_ml_r17 43530.871 43572.554 43522.021 NA
msst_long_ml_r17 43526.516 43622.617 43571.779 NA
msst_wide_bayes_r17 NA NA NA NA
msst_long_bayes_r17 NA NA NA 43035.316
cuts_wide_ml_r17 40306.375 40358.478 40295.313 NA
cuts_long_ml_r17 40306.375 40426.502 40362.954 NA
cuts_wide_bayes_r17 NA NA NA NA
cuts_long_bayes_r17 NA NA NA 39403.502
tso_wide_ml_r17 40310.4 40370.319 40297.68 NA
tso_wide_bayes_r17 NA NA NA NA
tso_long_bayes_r17 NA NA NA 35712.488
msst_wide_ml_r18 43570.28 43611.963 43561.431 NA
msst_long_ml_r18 43565.589 43661.69 43610.852 NA
msst_wide_bayes_r18 NA NA NA NA
msst_long_bayes_r18 NA NA NA 43054.926
cuts_wide_ml_r18 40189.747 40241.85 40178.685 NA
cuts_long_ml_r18 40189.747 40309.874 40246.326 NA
cuts_wide_bayes_r18 NA NA NA NA
