AIC BIC aBIC DIC
msst_wide_ml_r1 -999 -999 -999 -999
msst_long_ml_r1 39043.307 39139.409 39088.571 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 38615.133
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 36429.53 36549.657 36486.109 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 35583.534
tso_wide_ml_r1 -999 -999 -999 -999
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 32247.056
msst_wide_ml_r2 39511.974 39553.656 39503.124 NA
msst_long_ml_r2 39508.437 39604.539 39553.701 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 39037.083
cuts_wide_ml_r2 36675.709 36727.812 36664.647 NA
cuts_long_ml_r2 36675.709 36795.836 36732.288 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 35778.156
tso_wide_ml_r2 36681.303 36741.222 36668.582 NA
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 32219.722
msst_wide_ml_r3 -999 -999 -999 -999
msst_long_ml_r3 38820.387 38916.478 38865.64 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 38357.583
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 36212.701 36332.815 36269.267 NA
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 35339.751
tso_wide_ml_r3 -999 -999 -999 -999
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 31837.044
msst_wide_ml_r4 -999 -999 -999 -999
msst_long_ml_r4 38845.365 38941.462 38890.624 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 38380.978
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 36296.531 36416.652 36353.104 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 35427.229
tso_wide_ml_r4 -999 -999 -999 -999
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 32123.156
