128	-1	0	0	1	1	2	3	1	1	0	3	2	2	2	5	2	0	3	3	4	1	1	7	3	3	1	7	4	0	1	1	2	0	3	8	4	0	1	1	0	0	2	3	2	1	0	3	2	-1	1	-2	0	0	2	2	1	0	0	-1	0	-1	1	1	1	2	1	4	2	2	2	5	2	3	2	3	4	0	2	2	1	1	3	4	5	3	3	7	4	2	1	5	3	0	1	5	3	-1	0	0	0	1	1	2	3	2	3	3	3	2	0	5	4	0	1	2	3	1	3	2	3	1	2	3	3	4	2	5	4	3	2	6	4	0	1	4	3	1	0	6	4	2	0	5	3	1	2	1	2	4	3	10	7	0	1	4	2	2	2	4	3	0	1	2	0	1	3	3	3	0	0	4	4	2	3	5	3	2	2	2	3	1	3	8	2	2	2	2	3	1	1	3	4	2	1	7	5	1	2	5	4	2	2	5	2	0	0	1	3	0	3	4	3	0	2	2	2	2	2	7	5	1	1	3	1	0	2	3	2	4	3	8	3	3	4	6	5	0	1	4	3
129	0	3	3	1	-2	1	-2	2	-1	1	2	3	0	2	0	3	0	2	1	2	-1	1	0	2	-2	1	-3	0	-2	0	0	0	2	2	1	4	-2	0	-1	1	-1	2	1	2	-1	0	-1	1	0	1	1	2	1	1	5	3	0	0	0	2	-2	0	0	1	0	2	2	3	0	1	1	4	1	2	3	3	1	1	1	3	2	2	3	3	-1	1	0	2	0	3	4	3	-1	1	2	3	0	2	-1	3	0	2	0	2	0	1	0	1	0	3	4	3	1	2	3	3	-4	1	2	4	0	1	2	2	1	3	2	3	-3	1	0	2	0	0	1	2	1	1	2	4	1	1	3	4	2	1	1	2	0	3	2	4	0	1	1	2	1	2	1	3	4	3	5	5	0	1	2	1	1	2	2	3	0	1	3	2	-1	0	0	1	0	2	2	1	-1	1	0	1	0	0	0	1	-1	1	0	1	0	0	1	0	0	1	0	1	1	3	0	2	0	1	1	4	0	1	0	2	0	1	1	4	3	2	5	4	-1	2	0	2	0	1	1	2	0	2	3	2	0	2	3	4
130	1	0	3	4	2	0	2	4	3	0	3	3	2	0	4	2	5	-1	2	3	1	1	2	3	3	0	5	4	6	1	5	6	3	1	3	5	4	1	6	5	2	1	0	4	5	2	4	4	1	1	6	2	6	0	5	7	3	0	5	4	3	0	1	4	5	1	5	3	3	0	0	4	1	0	2	4	5	1	7	5	5	2	5	5	1	0	2	3	3	0	0	2	3	1	6	5	2	1	4	3	3	0	2	4	2	1	2	1	4	1	3	5	5	0	4	3	4	0	3	3	4	1	6	7	3	1	5	4	5	1	5	4	5	1	7	7	1	0	1	2	2	0	4	4	3	1	3	4	5	2	3	5	3	0	5	4	1	0	3	2	-2	-2	-3	0	3	0	3	3	2	0	3	3	8	2	7	7	3	0	1	3	4	1	4	4	3	0	4	3	4	2	4	3	4	0	4	3	3	2	6	5	2	1	2	5	4	1	3	4	1	0	2	0	0	0	-3	1	2	1	2	4	4	0	3	4	5	2	5	6	3	0	5	4	5	0	5	5	3	0	1	2
131	3	3	6	3	2	3	3	5	3	5	3	5	6	6	11	6	1	3	1	3	3	4	4	4	3	3	4	5	4	5	4	5	5	6	6	6	0	2	-1	2	5	3	3	5	2	4	2	5	5	3	5	5	3	4	5	6	5	5	5	6	7	4	6	6	6	5	5	5	1	3	0	2	2	2	4	4	3	3	2	3	5	4	5	4	0	3	3	3	3	5	2	1	3	4	3	3	2	3	0	1	4	4	5	7	3	4	3	5	5	3	4	6	0	3	2	2	3	4	3	4	5	5	4	5	1	2	3	0	4	4	5	6	3	4	4	4	2	2	2	2	0	2	2	3	2	2	1	4	3	3	4	6	5	5	7	7	4	5	6	5	2	3	4	4	3	4	1	2	2	6	5	4	2	5	5	4	4	5	4	6	4	5	2	5	1	5	5	6	1	3	2	3	0	4	2	5	2	4	1	5	2	4	3	6	2	4	3	4	7	6	5	7	5	4	8	5	4	4	5	6	3	4	6	6	1	2	2	5	2	4	5	4	3	3	6	3	1	3	3	3
132	2	3	3	3	-1	2	2	3	6	3	10	5	2	1	4	3	2	3	2	1	-1	1	1	3	0	1	0	2	2	4	4	5	3	4	3	3	2	3	6	4	0	1	2	3	1	2	2	2	4	4	7	6	1	3	6	3	2	3	1	3	2	2	3	3	0	2	3	3	0	2	2	2	2	3	5	5	1	2	1	3	2	2	4	2	0	2	1	2	3	3	6	5	2	4	5	4	0	2	0	3	0	4	2	3	0	2	2	2	-1	2	4	4	0	2	3	2	2	3	4	4	4	3	6	4	2	2	4	4	1	1	1	5	2	2	3	1	-3	0	-5	0	2	3	5	5	0	1	1	2	4	4	7	4	0	3	3	4	0	2	2	6	3	4	6	4	0	3	3	3	2	3	1	6	4	4	4	4	1	2	4	3	4	3	5	4	1	2	0	3	1	3	6	4	2	2	3	3	1	2	3	1	4	3	4	5	1	2	4	4	0	2	3	1	3	1	3	4	2	3	5	5	0	2	1	3	0	3	3	3	1	3	2	3	0	2	2	1	2	4	6	5
133	3	3	3	3	2	3	3	2	3	3	3	2	3	4	4	5	0	1	0	2	2	3	3	2	3	2	1	1	5	3	5	5	2	2	1	1	2	2	2	2	4	5	6	2	4	3	5	5	3	3	3	2	2	3	2	2	3	2	3	2	0	1	-1	1	0	1	-1	1	1	2	0	0	3	4	3	3	2	3	2	3	4	3	4	4	4	4	3	5	1	3	2	2	1	3	3	1	1	3	4	3	2	3	3	4	1	2	1	2	2	2	2	2	0	1	0	0	0	2	-1	0	0	2	1	0	-1	1	-1	1	2	0	-1	3	1	1	0	1	4	4	4	6	3	2	3	4	1	3	0	2	3	2	4	2	5	3	5	3	3	3	5	1	1	1	1	1	4	2	2	3	2	4	2	3	1	3	4	3	6	4	7	5	4	3	4	2	4	4	4	4	2	2	2	1	5	4	6	5	2	4	5	4	1	1	-2	2	0	1	1	1	4	4	7	4	0	2	0	0	2	2	0	3	2	2	1	2	1	2	1	0	2	3	3	6	0	1	2	2	2	2	1	2
134	0	0	1	1	2	0	3	3	2	0	0	2	1	0	4	4	2	0	3	3	3	1	3	5	0	0	-1	4	-1	0	2	3	2	1	3	4	2	1	2	5	1	0	-3	1	-1	0	2	1	0	2	4	5	3	0	5	4	1	2	3	5	2	0	0	3	2	1	3	3	3	0	6	5	4	2	4	6	-1	1	1	2	4	2	5	6	-1	1	0	3	1	1	2	3	1	1	3	3	2	0	4	6	2	0	4	3	5	3	6	6	2	1	1	6	0	1	0	3	1	2	4	4	1	0	2	2	2	0	2	3	0	0	1	2	4	0	1	6	-1	0	1	4	-2	0	0	2	2	2	5	4	2	2	3	5	2	1	4	7	2	2	6	6	0	0	-1	3	0	0	1	5	2	0	2	3	0	1	3	5	2	2	5	6	0	0	0	2	2	1	5	5	-1	0	0	2	0	0	0	1	0	0	3	6	5	0	4	6	1	0	2	5	0	0	1	3	0	0	3	2	3	0	4	4	3	1	3	3	2	0	2	5	2	1	6	4	1	1	4	4	1	0	3	3
135	-1	0	0	-1	-2	0	1	1	-3	-1	-2	-3	-3	-2	-1	-1	-2	0	-2	-1	-1	-1	0	0	0	0	0	0	0	0	1	-2	0	0	4	1	-3	0	0	-1	0	0	2	1	0	0	4	1	-1	-1	0	0	-1	1	0	-1	-3	0	0	0	-3	-1	-5	-2	-1	0	-2	-1	-4	-1	-1	-1	-2	0	0	-2	0	1	2	0	-1	0	-2	-3	0	0	-1	0	-5	-2	-3	-4	0	0	3	1	0	0	0	-2	-3	-2	-2	-3	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	-1	0	0	0	1	0	0	0	-3	0	-1	-1	-4	-2	-2	-2	2	1	3	1	0	0	0	0	-2	0	2	0	-4	-2	0	-2	0	0	0	0	-1	0	1	0	0	1	1	0	0	1	4	0	-4	0	0	0	-1	0	0	0	0	0	2	0	1	-1	1	0	0	0	0	-2	-2	0	-2	-3	0	0	0	-2	0	1	4	0	-2	-1	-1	-2	-5	-1	-2	-1	-1	0	-1	0	-1	-2	1	0	-2	0	0	-1	0	-2	0	0	-1	1	1	0	0	0	0	-1	0	0	0	-1	-2	-1	-1	-2
136	3	4	6	5	2	2	3	3	1	3	5	6	2	3	2	3	3	2	6	4	-1	0	1	4	2	2	4	6	3	3	4	4	2	3	5	5	-1	0	1	2	7	5	7	6	1	1	1	4	1	3	5	4	3	3	4	5	0	1	2	2	1	3	3	5	3	4	1	4	2	3	5	4	3	3	6	4	1	3	1	4	2	3	5	3	3	2	4	4	-1	1	0	2	2	2	3	5	3	2	5	6	3	4	5	5	4	4	4	4	3	2	4	5	3	3	7	5	0	2	5	3	2	2	3	4	0	2	4	4	4	4	7	5	3	2	4	5	1	4	4	4	0	2	5	4	1	1	3	3	1	2	5	3	0	2	1	3	0	1	0	2	0	2	5	5	0	0	4	1	0	2	1	3	0	2	3	3	1	2	3	5	0	3	3	4	1	2	6	4	0	2	2	2	1	3	4	2	4	2	7	5	3	4	7	5	3	2	4	5	2	3	6	5	0	1	0	3	2	3	3	5	0	2	0	1	3	2	3	5	3	3	7	7	1	4	4	3	2	3	7	3
137	0	1	1	2	0	0	2	3	-2	-1	-2	0	0	0	3	3	0	1	3	2	0	0	-1	1	0	-1	0	0	-2	0	-2	0	0	2	0	2	0	0	0	2	-2	0	0	0	1	0	-1	1	-1	0	-1	1	1	2	2	2	-1	0	1	0	0	1	3	2	0	0	0	1	0	0	1	2	0	0	0	2	0	2	5	3	0	0	2	2	1	1	1	2	1	1	3	4	0	0	1	2	0	0	2	3	2	0	3	3	-2	0	1	0	-3	-2	-3	0	1	0	3	3	0	1	1	1	0	0	-4	1	0	0	0	1	0	-1	1	2	-2	-1	0	0	1	2	3	3	-2	0	1	0	0	0	1	1	0	1	1	2	-1	0	0	0	1	1	2	4	0	1	4	5	-1	0	0	0	0	0	0	1	1	0	3	2	1	0	4	1	-1	-1	-3	-1	2	1	5	5	-1	0	0	1	0	0	0	1	0	0	1	2	-1	0	0	2	-1	0	0	0	0	2	2	1	3	0	3	3	2	0	3	2	-2	-1	0	2	0	-1	0	2	3	1	5	4	2	1	3	5	-2	0	-1	0
138	6	5	10	4	2	3	1	1	2	3	5	4	5	4	4	4	3	4	5	2	1	2	1	1	4	3	2	1	4	5	4	4	1	2	0	0	3	5	6	2	0	3	3	0	3	5	6	3	2	5	3	2	6	5	6	4	1	4	2	3	2	3	3	2	3	5	6	5	3	5	1	2	5	6	6	3	6	5	5	2	3	5	2	3	4	5	9	4	2	4	2	3	3	4	5	3	3	4	4	2	7	4	9	5	5	6	7	4	2	3	4	2	-1	2	0	0	4	6	5	6	3	3	3	1	1	3	2	1	1	4	5	3	3	3	4	2	1	5	4	1	5	5	7	3	1	3	6	2	5	4	4	2	2	2	0	0	3	3	3	3	5	4	5	2	1	3	3	2	5	4	3	3	5	5	5	4	5	6	6	3	5	5	5	3	2	5	4	5	8	5	6	5	2	5	2	2	1	3	2	2	3	4	4	2	5	6	7	6	3	3	2	1	4	4	6	5	5	6	8	5	3	5	3	3	3	3	3	1	3	3	3	1	7	6	9	7	2	4	4	2
139	3	6	6	5	4	6	6	6	4	3	1	5	6	5	4	7	7	6	8	6	4	6	3	4	4	5	3	4	4	5	3	5	5	6	6	6	5	6	6	5	6	6	5	6	4	3	4	6	4	5	3	4	7	8	6	7	1	6	0	3	5	5	5	5	4	3	5	5	4	7	6	4	4	5	4	4	3	4	5	4	4	5	6	5	4	5	5	5	5	6	6	6	5	5	7	5	4	5	8	8	4	5	8	6	8	7	8	8	8	8	12	9	5	5	4	5	1	6	3	3	5	7	5	5	3	6	2	5	4	6	5	5	2	5	1	5	5	5	8	6	3	4	3	3	8	5	7	8	3	4	6	4	6	5	7	7	3	4	4	4	5	4	5	5	4	5	3	6	5	6	6	6	7	6	3	9	7	7	5	7	5	4	9	5	4	4	3	5	2	5	4	4	7	6	10	9	6	6	6	4	5	5	4	4	5	5	6	5	4	4	3	3	5	4	4	5	5	4	3	4	0	2	-1	3	6	6	8	6	6	5	3	5	5	6	6	6	7	6	5	8
140	-1	1	-1	0	1	1	0	-1	-1	0	-1	0	-1	0	2	0	-1	0	-1	1	1	2	3	1	1	1	3	1	-2	0	0	-1	0	1	2	0	-1	0	2	0	2	2	3	-1	1	2	4	3	-2	0	0	-1	0	1	2	0	2	1	3	1	-2	0	-2	0	0	1	0	-1	0	1	1	1	0	1	0	0	0	0	0	0	-1	1	0	0	1	0	0	-1	1	2	0	0	1	2	6	2	0	2	-1	0	-1	0	1	0	-1	0	-2	-1	0	-1	-1	0	1	1	2	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	-2	0	1	0	0	1	-1	-1	0	1	0	-1	-2	0	0	0	0	1	1	-1	-1	1	1	0	0	1	1	0	-2	0	-3	-3	1	0	2	-1	0	1	2	0	4	2	5	2	0	1	0	1	0	1	2	0	1	2	5	3	0	0	-1	-3	1	1	1	0	0	0	-1	0	1	3	5	0	1	1	0	0	0	1	1	0	0	0	1	0	-2	-1	0	-1	1	2	3	1	-1	1	1	0	-1	0	-1	0	0	0	3	1	1	0	1	1
141	1	3	3	5	2	2	0	4	2	2	5	5	6	5	8	8	-1	1	0	3	1	2	1	4	3	4	4	5	1	3	1	5	3	3	2	4	1	4	3	4	2	2	2	5	2	4	4	6	1	2	3	4	1	2	0	4	0	1	0	1	0	2	5	6	0	1	1	2	1	1	3	5	0	2	2	4	5	5	6	6	-1	0	0	3	3	3	4	5	1	2	1	3	0	2	0	3	1	1	1	2	3	3	5	5	2	2	2	5	2	2	3	4	3	2	2	3	4	2	4	5	0	1	0	2	4	3	5	5	2	4	4	6	1	2	3	6	0	1	2	2	2	3	5	4	2	1	6	3	3	2	3	5	0	0	-1	3	0	1	2	2	2	2	1	2	0	1	-2	2	3	4	5	4	1	3	3	4	2	4	5	7	2	2	4	5	5	2	6	7	-1	0	-1	2	0	2	3	5	4	3	3	5	3	3	5	5	0	2	2	4	4	4	7	4	0	2	2	6	7	5	7	8	4	1	3	5	3	2	1	4	0	2	2	3	3	3	3	4	4	3	3	6
142	3	2	4	2	1	0	1	1	-1	0	0	0	1	2	1	1	1	2	3	2	3	3	6	3	1	2	6	1	4	3	4	4	1	1	0	1	2	1	4	2	2	2	1	2	3	2	5	3	0	1	2	2	0	1	0	0	1	2	3	1	1	0	0	1	0	0	-2	-1	0	1	0	1	1	1	2	2	2	1	1	0	2	3	2	3	-1	1	0	0	2	2	5	0	3	3	2	0	2	1	4	0	0	2	0	0	3	3	6	4	4	4	6	5	1	1	2	3	2	2	1	1	3	2	3	4	3	1	1	5	3	3	4	1	0	0	0	0	1	1	0	1	2	0	-1	0	1	0	2	0	0	0	0	0	1	2	5	1	0	0	0	0	2	2	2	2	1	1	2	0	2	1	3	1	0	1	0	0	1	1	4	2	3	3	4	2	3	2	0	1	0	1	0	1	-1	1	0	0	-1	1	-2	0	-1	1	-1	2	0	1	0	0	0	1	1	2	2	2	1	1	2	1	3	2	3	2	3	0	0	2	2	1	1	1	4	1	1	3	4	2	1	2	2	2
143	1	3	4	1	2	3	4	1	2	1	1	0	0	1	0	-1	0	0	5	0	1	1	1	-1	0	0	1	0	-1	1	0	0	1	1	3	0	-1	1	1	-2	1	0	2	0	0	1	3	0	-2	1	0	0	0	0	2	0	3	2	6	2	0	2	3	1	-1	0	0	-1	2	2	5	2	-1	0	0	0	0	1	2	0	2	3	5	0	1	3	6	0	1	2	3	0	-2	-1	0	-1	-2	0	-1	-2	0	2	3	1	1	0	2	-1	1	1	1	0	1	1	2	0	-2	0	-1	-2	0	0	0	0	0	2	0	1	0	0	4	0	1	1	3	1	1	1	1	0	0	1	2	0	0	0	2	0	1	0	0	0	0	1	-1	0	-2	1	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	-2	0	0	1	-1	-1	0	-2	-1	4	4	6	2	2	0	3	1	3	2	3	1	-1	0	0	0	-2	0	-3	0	0	0	0	0	1	0	5	1	3	2	5	1	-2	1	-2	-1	-3	0	-2	-1	0	1	1	0	0	0	1	0	1	2	3	1	0	0	1	-1	-1	0	0	-1
144	2	0	1	2	0	0	0	0	1	2	2	0	0	1	0	0	0	0	0	0	0	1	3	1	1	1	3	2	0	0	0	0	0	1	1	1	2	2	3	2	0	0	1	0	-1	0	0	-1	0	0	-2	0	2	2	2	0	-1	1	2	0	0	1	2	1	3	3	6	1	3	2	3	1	0	0	2	1	1	1	0	1	1	1	2	1	-1	0	0	0	0	1	3	2	1	1	3	3	0	1	1	0	0	1	5	2	1	1	2	1	2	2	3	3	1	1	0	2	-3	1	1	0	2	2	2	2	0	2	1	2	-4	-1	-3	-2	1	1	3	2	3	1	1	0	2	1	2	1	0	1	1	1	0	0	4	2	2	0	0	0	1	1	3	2	2	1	0	2	-1	0	0	0	0	1	6	2	2	2	3	3	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	1	1	0	0	-2	0	0	-1	2	2	2	0	1	1	3	0	0	1	0	0	0	0	-2	0	1	0	0	1	1	1	3	1	2	2	1	0	2	2	4	4	0	0	-2	0	0	1	3	0
145	-1	1	1	0	0	0	3	2	-2	0	1	2	2	1	4	3	-3	0	0	2	1	0	1	2	-1	0	1	1	-1	2	-3	0	-2	-1	-2	0	1	3	3	2	0	1	0	1	-2	1	0	0	-1	1	0	1	0	0	-1	1	-2	0	-1	0	1	1	3	1	-3	0	1	0	0	1	-1	0	1	2	1	2	0	2	2	2	0	2	3	2	0	1	3	4	0	0	0	4	-3	-2	0	0	0	2	3	0	2	3	1	3	-1	0	0	0	3	3	6	4	0	0	2	1	0	1	1	1	0	1	1	2	0	1	5	1	-1	0	0	0	1	2	4	2	0	1	4	5	1	1	3	5	1	1	0	1	-3	0	-2	-1	-1	0	3	0	0	1	5	2	0	0	2	1	1	1	1	2	2	2	5	1	3	1	0	2	0	1	1	2	-1	0	0	2	0	0	0	1	2	2	3	3	-1	1	0	3	0	1	4	4	-5	0	-3	0	0	0	0	0	-3	-1	-1	0	-1	1	2	3	-1	1	2	3	0	1	-1	0	0	1	3	2	3	2	4	1	1	1	6	1	-2	0	0	0
146	0	1	0	2	5	0	4	2	3	1	1	2	4	2	5	5	4	2	3	3	3	3	3	4	0	-1	0	1	3	2	1	1	1	1	1	0	3	2	2	3	-2	0	3	0	1	2	2	3	3	0	4	2	2	2	3	3	1	1	1	2	4	3	5	3	2	2	2	3	1	2	0	2	-2	0	-4	0	2	1	1	1	2	1	3	4	3	2	4	2	1	1	1	2	1	0	1	0	1	0	-1	1	3	1	2	4	0	1	5	3	3	2	5	4	1	0	0	0	4	3	5	3	2	1	1	3	2	1	2	2	0	0	-1	0	4	2	3	3	1	0	0	2	0	0	2	1	1	0	2	1	2	0	4	1	0	0	2	2	1	2	4	3	3	0	0	3	2	0	-1	0	1	1	0	2	0	1	1	3	1	1	0	3	0	0	0	1	4	2	2	3	2	0	0	1	3	1	1	3	1	1	2	3	1	1	4	3	0	0	-2	1	1	1	1	4	4	2	3	3	1	0	0	0	1	1	0	0	3	1	2	1	5	3	4	4	1	0	2	2	-1	0	-2	0
147	1	0	0	1	0	0	0	0	0	0	1	2	-2	1	0	1	-1	-1	-2	0	-1	0	0	0	0	0	0	0	-2	1	-1	0	0	1	0	2	1	0	0	0	0	0	0	2	-1	0	-1	0	-1	0	0	2	-1	0	0	0	2	1	0	3	-1	0	0	1	-1	0	0	0	0	0	-1	2	-4	-1	-3	0	1	1	4	2	3	2	1	3	-1	-1	-2	0	0	0	-2	0	-1	0	1	3	0	0	-1	2	2	0	0	2	-1	0	0	2	-3	0	0	0	-2	-2	1	0	0	1	0	1	0	0	0	0	1	0	-2	2	2	0	0	4	0	1	-1	1	0	2	2	0	0	-1	-3	0	0	0	1	0	2	1	0	3	0	1	0	1	1	0	2	3	0	0	0	3	-1	0	-1	0	2	0	0	3	-1	0	0	1	0	1	-1	2	-2	-2	-3	0	0	0	0	3	0	0	-1	1	-1	0	0	0	0	2	1	2	0	0	0	0	1	1	1	3	0	0	0	0	1	0	1	0	0	0	-1	0	0	1	0	1	2	0	1	2	0	0	0	2	0	0	-3	1	-1	0	-1	0
148	0	5	3	4	0	3	0	3	0	3	2	4	4	5	7	7	3	3	3	6	2	5	6	7	3	5	3	3	2	4	5	3	0	2	0	1	5	4	5	6	2	4	0	5	4	4	8	5	5	6	8	7	1	4	2	4	1	3	1	4	4	5	3	4	2	3	2	4	3	4	6	5	3	4	3	5	2	4	4	5	1	3	1	5	3	4	4	5	2	4	2	2	4	6	4	7	2	4	4	5	-1	2	-1	3	0	2	-1	2	1	4	2	2	3	5	8	6	1	3	3	5	3	3	2	4	4	2	1	3	0	3	0	1	5	5	6	5	5	4	4	5	3	4	3	5	0	3	0	4	5	6	5	5	3	4	6	5	4	5	3	3	4	4	5	6	1	5	2	5	3	5	3	5	3	4	4	4	5	5	4	5	2	4	4	4	2	4	4	6	4	5	3	5	2	4	2	2	4	4	5	4	4	5	7	6	3	5	2	4	0	3	1	3	2	4	3	4	2	4	2	4	4	4	5	6	3	4	5	3	1	5	1	4	2	5	4	7	3	3	2	6
149	5	5	6	4	5	4	6	4	2	3	2	2	8	6	10	8	3	3	5	3	4	4	6	6	4	3	6	4	6	4	9	4	4	3	6	5	5	4	6	5	3	4	6	4	3	4	4	2	7	3	9	6	2	2	2	4	3	4	4	5	5	4	7	4	4	1	3	3	4	5	5	2	1	2	1	4	4	4	5	4	4	2	5	3	6	4	7	6	5	5	7	4	6	5	6	5	10	5	9	6	1	2	0	0	5	4	6	5	3	3	4	4	5	4	9	7	4	3	4	5	4	4	5	3	3	2	4	4	5	4	5	4	6	4	5	5	6	4	6	6	5	3	4	3	3	4	6	4	4	3	4	4	3	3	5	4	2	3	6	3	8	5	7	7	8	5	8	7	6	4	6	4	4	4	5	2	2	3	6	4	4	4	6	6	2	3	1	4	5	5	6	4	2	2	3	3	3	3	4	2	7	6	11	5	4	4	5	5	4	2	5	4	6	3	5	3	3	2	6	4	5	4	8	7	5	3	6	4	7	3	8	3	10	5	9	5	9	3	7	6
150	0	0	1	0	0	1	0	0	1	0	4	2	0	0	-2	1	0	0	0	0	1	1	2	2	4	3	4	4	0	1	0	1	2	0	1	2	-1	0	-1	0	3	1	2	3	0	0	1	1	1	2	1	1	-1	1	0	1	-1	1	0	0	5	3	3	4	3	2	5	3	0	1	0	0	3	3	1	2	1	0	-1	1	0	1	-1	2	2	2	3	2	2	1	0	1	1	2	5	5	3	2	2	4	0	0	-3	0	0	0	0	0	0	0	-1	-1	1	3	1	2	0	1	1	2	0	1	0	2	0	1	0	2	0	1	-1	0	0	0	1	1	3	2	3	3	0	0	-2	1	0	0	-1	0	1	1	4	2	2	3	2	5	1	3	4	3	1	1	0	2	3	2	2	2	1	1	0	1	1	1	2	2	0	1	-2	0	0	1	0	2	0	0	-1	1	0	0	0	0	-1	0	-1	0	3	2	1	3	-2	0	-2	0	0	1	0	3	2	2	0	2	2	2	3	4	4	2	2	3	0	0	-2	1	3	2	2	2	-2	0	0	0	1	0	1	2	1	2	1	4
151	2	2	2	3	0	2	2	5	3	3	6	7	1	3	1	5	1	3	2	4	3	3	4	6	0	1	2	4	1	3	2	5	3	3	4	5	0	1	1	3	1	3	3	5	4	2	4	4	0	2	0	5	2	4	3	5	4	3	6	6	0	2	1	4	3	3	7	4	-1	3	0	2	0	3	0	4	5	3	4	7	2	3	6	4	4	4	5	7	3	3	3	5	2	3	3	5	0	0	-2	1	0	2	0	2	3	3	2	5	-3	1	-1	1	0	2	0	6	0	2	2	3	2	3	3	4	2	5	5	5	2	3	5	5	1	2	2	4	0	3	1	5	0	1	0	4	1	4	5	5	0	1	1	2	1	3	4	6	5	5	6	7	1	3	4	3	1	2	4	4	2	4	5	5	2	3	5	5	3	4	7	3	0	3	2	2	-2	2	-1	2	3	4	4	6	0	2	3	5	0	3	1	4	0	3	3	5	0	2	2	4	0	3	1	2	2	3	7	7	2	4	2	5	1	4	3	5	4	2	6	6	2	3	4	5	0	2	2	5	-2	1	-1	3
152	4	2	5	9	5	4	7	7	3	2	4	5	3	2	1	5	3	3	3	5	2	1	4	6	1	0	3	4	1	1	4	3	6	3	5	7	3	2	3	4	1	1	5	5	3	1	3	5	6	2	6	8	0	2	2	4	3	1	4	5	1	2	2	5	2	1	5	6	4	2	4	7	2	3	8	7	1	3	4	7	2	2	2	5	2	1	4	4	0	0	-1	4	0	1	1	4	5	2	5	5	1	1	1	4	0	2	5	4	3	2	7	7	0	0	0	5	2	2	2	7	2	2	3	7	2	1	1	4	0	0	0	3	1	3	6	7	3	3	6	3	7	4	8	10	5	2	2	6	0	1	0	5	1	1	1	4	1	2	3	5	2	3	3	7	3	2	5	5	3	1	1	5	1	3	2	2	3	2	3	7	2	2	5	6	3	2	5	6	0	1	0	5	4	3	5	6	2	1	3	3	5	1	4	6	5	1	8	6	3	1	3	5	5	1	4	7	2	2	4	5	2	2	3	6	7	3	7	7	2	1	6	4	3	2	0	5	1	1	2	5
153	1	1	2	3	3	3	5	4	0	2	4	4	0	3	2	2	5	3	6	4	2	3	2	3	7	6	11	6	1	3	6	2	2	3	3	3	2	3	0	3	5	5	4	4	1	3	4	4	4	4	5	4	0	3	3	2	4	4	4	3	4	4	5	4	3	2	6	5	5	5	7	6	0	3	1	3	3	3	5	4	1	1	3	2	4	3	3	4	4	3	6	4	3	2	4	4	2	2	1	3	1	4	3	4	0	2	0	3	2	3	2	3	3	2	2	5	2	4	3	5	1	3	0	4	2	2	2	3	6	4	7	5	3	3	4	4	3	3	9	5	3	2	5	5	3	5	6	5	5	3	6	5	3	2	1	3	0	2	2	2	1	2	3	1	0	2	3	3	1	1	2	3	3	4	7	5	3	3	3	3	2	2	1	2	0	2	3	3	0	1	0	1	2	1	3	2	2	3	4	4	4	3	4	4	0	2	1	2	6	3	5	6	1	2	2	2	2	2	4	3	1	1	4	5	-1	1	1	0	4	3	3	4	3	3	3	2	2	3	2	3
154	1	3	5	4	0	1	5	4	-1	0	2	3	-2	0	2	3	-3	1	0	1	4	2	5	6	0	0	0	1	-1	2	1	2	1	3	4	5	0	1	3	5	-1	0	-1	3	0	2	3	3	0	0	1	2	-2	1	0	4	0	2	2	5	0	0	0	2	-1	1	0	3	0	3	2	2	0	0	0	2	0	1	1	3	-1	0	0	2	0	1	1	2	2	3	6	5	0	1	3	4	-1	1	1	4	-1	1	0	1	1	2	3	6	-2	2	0	4	-1	0	1	2	-2	0	0	2	0	1	1	3	1	2	4	6	0	0	1	3	4	4	2	5	0	1	0	4	0	1	2	3	0	0	0	1	0	2	0	3	0	1	0	4	0	2	4	4	-1	1	0	3	2	1	2	6	1	2	2	4	0	1	-1	4	0	0	1	3	0	1	1	4	0	1	2	4	-4	2	1	3	2	1	3	5	-1	1	0	2	-1	2	2	2	0	1	3	3	0	1	2	4	0	0	2	4	0	0	2	2	0	1	0	2	0	1	3	4	2	2	4	4	-1	0	0	4	-1	1	2	1
155	1	3	2	2	0	3	0	1	0	4	0	2	2	3	1	3	2	3	2	4	3	3	0	2	3	3	3	4	7	6	9	5	0	1	-1	2	0	2	-1	1	1	3	2	2	4	5	3	4	1	2	-1	2	1	3	3	2	4	4	5	4	4	3	4	3	2	2	1	4	1	5	3	2	3	4	4	4	1	3	2	3	4	4	6	6	0	1	0	2	2	2	0	3	2	4	4	4	3	4	5	3	5	4	4	5	0	2	0	0	1	4	1	3	0	2	0	3	1	2	0	3	3	4	4	4	0	2	1	1	1	5	2	3	5	4	4	5	3	4	1	5	-1	2	0	1	0	4	2	2	1	1	1	3	0	3	0	3	1	2	0	3	3	3	4	5	0	2	0	1	3	3	4	5	2	3	1	2	-1	3	0	1	2	3	1	3	3	3	2	4	3	4	4	5	4	4	3	4	1	3	3	3	1	3	4	3	-1	2	-1	1	3	4	5	5	-2	3	0	0	0	3	1	0	4	4	2	4	2	3	3	4	3	5	4	4	4	4	5	5	1	3	3	4
